sample	I	II	III	IV	V	VI	VII	VIII	IX	meca	Ia	IIa	IIb	IIIa	IVa	IVb	IVc	IVd	IVg	IVh
GCA_0101494451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339355	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995699	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017057	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR5083345	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995925	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016821	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995710	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101660151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101396551	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
SRR13995817	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False
SRR13995831	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101526151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101651451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101728251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqfl	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101606751	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True
adpts	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpza	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101487151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101590051	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995523	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101364551	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
adqen	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339367	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995828	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101449751	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR14016751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339343	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995512	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995537	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016783	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101375451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acveo	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995982	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101586051	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101509351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017188	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101666951	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101381751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
acvdq	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
SRR13995542	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016701	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1753433	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339473	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017139	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101605351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvcr	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
SRR14017182	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1753380	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017063	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpys	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
SRR14017079	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101618651	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
SRR14016943	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
abfrc	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
ERR5242651	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996087	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR2309610	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False
adpvz	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016864	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101530551	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101364351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adptp	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
ERR1753460	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1753454	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101434951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpyc	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995565	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016834	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339372	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339562	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996112	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101703351	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True
acvgn	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101406051	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
SRR13996058	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR2309545	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adttj	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqfj	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016909	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017115	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339527	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101715951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR2309592	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqei	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101683351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101405751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqdk	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1904090	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101672951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101719951	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR18339391	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101479151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016706	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvbv	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101506851	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995725	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996106	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101468751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False
GCA_0101398251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101512651	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
ERR1904169	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101451351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
GCA_0101473751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339548	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
abfqu	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016807	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017264	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvcy	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
GCA_0101367151	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR13995521	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101694951	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
GCA_0101629151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR2309559	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101478251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvds	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
GCA_0101594551	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016970	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101652151	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR13995667	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995981	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1753492	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
abfqx	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adtrg	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101705551	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvaf	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101517251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339420	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101449851	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR13995473	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996072	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101614951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR5083335	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpzg	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpyt	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101705851	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR2309519	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101581851	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101521751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995631	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR2309541	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1753412	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995815	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016851	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101604251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpuh	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqfc	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvei	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101520551	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1753510	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101533751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqee	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101687551	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True
GCA_0101668151	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR13996096	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101712751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339404	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016748	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995985	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016860	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvem	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
SRR13996024	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101618451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False
GCA_0101477451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqfu	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017001	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101393751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
SRR14016888	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995763	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101666751	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR18339442	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1903986	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101723251	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
GCA_0101689151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101663451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adtvt	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
SRR14017258	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995659	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
acvdj	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True
SRR14017093	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101615451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995412	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017022	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpvg	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
ERR2094464	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995969	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995696	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqdh	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016812	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995854	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995397	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017085	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101688551	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101489951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
abfre	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101509951	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995686	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101660951	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101431051	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
SRR13995451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339572	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101598251	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101680751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101602651	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1904140	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101731051	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
SRR13996101	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101691851	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adtuw	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101593351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
abkuw	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqgc	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995997	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpvs	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
aatyu	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016760	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101365351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpwn	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
GCA_0101473151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101608651	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adpvk	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False
GCA_0101710651	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101429751	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False
SRR13995656	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1904040	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101435451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101393151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False
ERR1904044	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1753448	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017284	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14017117	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1904018	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101503351	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101370151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996061	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1903991	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR14016971	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adtqh	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
ERR1904100	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995402	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1904194	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR18339459	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996049	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101729251	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
GCA_0101389151	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13996062	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
ERR1904183	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101622751	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
aatzg	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
adqcu	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False
acvfs	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101471451	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
GCA_0101519551	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
SRR13995439	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
