genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
GCA_903806585.1_21631_7_181_genomic.fna,1_2,0.0050000000000000044,average,ANImf,1
GCA_001297555.1_ASM129755v1_genomic.fna,1_3,0.0050000000000000044,average,ANImf,1
GCA_018590115.1_PDT001048987.1_genomic.fna,1_3,0.0050000000000000044,average,ANImf,1
GCA_018606045.1_PDT001049006.1_genomic.fna,1_3,0.0050000000000000044,average,ANImf,1
GCA_000735755.1_SK1585_newbler2.6_V1_genomic.fna,1_4,0.0050000000000000044,average,ANImf,1
GCA_003237175.1_ASM323717v1_genomic.fna,1_5,0.0050000000000000044,average,ANImf,1
GCA_018153225.1_PDT001013847.1_genomic.fna,1_5,0.0050000000000000044,average,ANImf,1
GCA_900070235.1_10868_4_93_genomic.fna,1_5,0.0050000000000000044,average,ANImf,1
GCA_900126495.1_17175_2_9_genomic.fna,1_5,0.0050000000000000044,average,ANImf,1
GCA_000530215.1_S0460D1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000638615.1_Stap_aure_C2549_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000639795.1_Stap_aure_Rd_51_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000639835.1_Stap_aure_Rd_60_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000640095.1_Stap_aure_Sau_93_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000642595.1_Stap_aure_VET0243R_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000643295.1_Stap_aure_VET0300R_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000645995.1_Stap_aure_VET1526S_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000646835.1_Stap_aure_VET1886R_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000647435.1_Stap_aure_ZTA11_00189-8HSA_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000683275.1_Stap_aure_VET0473R_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000684135.1_Stap_aure_VET0120R_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000684555.1_Stap_aure_C0676_V1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_000827155.1_ASM82715v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_003581545.1_ASM358154v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_008462245.1_ASM846224v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_009792475.1_ASM979247v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_015614985.2_PDT000108736.2_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_015616065.2_PDT000108800.2_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_015617385.2_PDT000108620.2_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_015617525.2_PDT000108616.2_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_018146455.1_PDT001014081.1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_018602815.1_PDT001049003.1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_018605545.1_PDT001049395.1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_018605565.1_PDT001049396.1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_018915125.1_ASM1891512v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_019265645.1_ASM1926564v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_019294905.1_ASM1929490v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_020667155.1_ASM2066715v1_genomic.fna,1_6,0.0050000000000000044,average,ANImf,1
GCA_001855075.1_ASM185507v1_genomic.fna,1_7,0.0050000000000000044,average,ANImf,1
GCA_900124965.1_17138_2_47_genomic.fna,1_7,0.0050000000000000044,average,ANImf,1
GCA_009731595.1_ASM973159v1_genomic.fna,1_8,0.0050000000000000044,average,ANImf,1
GCA_018151725.1_PDT001013907.1_genomic.fna,1_9,0.0050000000000000044,average,ANImf,1
GCA_900126175.1_17175_2_52_genomic.fna,1_10,0.0050000000000000044,average,ANImf,1
GCA_002224825.1_ASM222482v1_genomic.fna,1_11,0.0050000000000000044,average,ANImf,1
GCA_000162615.1_ASM16261v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_000162795.1_ASM16279v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_000645515.1_Stap_aure_VET0889S_V1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_001281605.1_ASM128160v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_001411685.1_ASM141168v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_003017535.1_ASM301753v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_003052325.1_ASM305232v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_003239215.1_ASM323921v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_003668675.1_ASM366867v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_003720415.1_ASM372041v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_003813325.1_ASM381332v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_008040435.1_ASM804043v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_011023725.1_ASM1102372v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_011029025.1_ASM1102902v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_012651145.1_ASM1265114v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_015573055.1_PDT000811835.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_015574095.1_PDT000811801.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_015575535.1_PDT000811710.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_015579235.1_PDT000811525.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_015580035.1_PDT000811520.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_015611285.2_PDT000184794.2_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_017696895.1_ASM1769689v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_018168595.1_PDT001013001.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_018179835.1_PDT001012978.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_018399115.1_ASM1839911v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_018602695.1_PDT001049017.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_018811665.1_PDT001048991.1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_018986075.1_ASM1898607v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_018995825.1_ASM1899582v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_019122275.1_ASM1912227v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_019714435.1_ASM1971443v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_020388925.1_ASM2038892v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_020587575.1_ASM2058757v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_020589345.1_ASM2058934v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_020820895.1_ASM2082089v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_021008235.1_ASM2100823v1_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900037645.1_7712_8_47_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900038255.1_7554_6_50_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900038415.1_7748_6_11_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900045115.1_7748_6_2_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900080465.1_11641_1_72_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900080635.1_11641_1_50_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900081215.1_12641_1_47_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900082335.1_12673_3_57_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900250865.1_M2858_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_903800355.1_20621_1_9_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_903801225.1_20621_1_70_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_903808015.1_22114_8_38_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_903809585.1_22139_5_9_genomic.fna,1_12,0.0050000000000000044,average,ANImf,1
GCA_900098605.1_9119_2_38_genomic.fna,1_13,0.0050000000000000044,average,ANImf,1
GCA_018586685.1_PDT001048990.1_genomic.fna,1_14,0.0050000000000000044,average,ANImf,1
GCA_018602835.1_PDT001049004.1_genomic.fna,1_14,0.0050000000000000044,average,ANImf,1
GCA_018602975.1_PDT001048980.1_genomic.fna,1_14,0.0050000000000000044,average,ANImf,1
GCA_018811265.1_PDT001048998.1_genomic.fna,1_14,0.0050000000000000044,average,ANImf,1
GCA_900250335.1_H1415_genomic.fna,1_14,0.0050000000000000044,average,ANImf,1
GCA_015612705.2_PDT000184759.2_genomic.fna,1_15,0.0050000000000000044,average,ANImf,1
GCA_017698915.1_ASM1769891v1_genomic.fna,1_15,0.0050000000000000044,average,ANImf,1
GCA_020589335.1_ASM2058933v1_genomic.fna,1_15,0.0050000000000000044,average,ANImf,1
GCA_001193355.1_7907_7_22_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_001205035.1_7893_8_2_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_001225525.1_4395_5_5_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_001233945.1_4395_7_12_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_001234025.1_6401_7_11_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_001234905.1_4395_7_5_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_001349775.1_8987_2_66_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_001349855.1_9061_8_82_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_009696835.1_ASM969683v1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_015596465.1_PDT000618999.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_015600005.1_PDT000618863.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_018585105.1_PDT001049393.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_018590185.1_PDT001049460.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_018602535.1_PDT001049273.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_018602875.1_PDT001048995.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_018606085.1_PDT001048999.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_018616495.1_ASM1861649v1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_018811425.1_PDT001048912.1_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900036395.1_7469_7_12_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900038325.1_7414_7_55_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900039935.1_7521_6_52_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900040455.1_7521_6_64_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900040955.1_7480_7_37_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900042045.1_7521_5_31_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900042315.1_7521_6_85_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900043605.1_7564_8_30_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900045175.1_7480_8_65_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900045805.1_7414_7_91_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900046275.1_7469_7_59_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900047235.1_7414_8_32_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900048555.1_7712_8_52_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900050575.1_7748_6_73_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900052375.1_7469_7_73_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900055275.1_7748_6_75_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900251565.1_M3684_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_900483445.1_7922_1_71_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_903798775.1_20596_6_36_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_903800905.1_20621_1_57_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_903807475.1_21673_5_172_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_903813325.1_22276_7_169_genomic.fna,1_16,0.0050000000000000044,average,ANImf,1
GCA_016425385.1_ASM1642538v1_genomic.fna,1_17,0.0050000000000000044,average,ANImf,1
GCA_019712455.1_ASM1971245v1_genomic.fna,1_17,0.0050000000000000044,average,ANImf,1
GCA_900128045.1_17175_2_5_genomic.fna,1_17,0.0050000000000000044,average,ANImf,1
GCA_000543345.1_Stap_aure_KINW6048_V1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_001224725.1_5119_1_8_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_001641045.1_ASM164104v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_001652205.1_ASM165220v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_002097595.2_ASM209759v2_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_002267625.1_ASM226762v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_010612685.1_ASM1061268v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_013367295.1_ASM1336729v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_016830395.1_ASM1683039v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_016831515.1_ASM1683151v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_018587185.1_PDT001049012.1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_018811605.1_PDT001049010.1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_019758235.1_ASM1975823v1_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_900474575.1_40415_F02_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_902714715.1_5985_6_5_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_902714755.1_5985_6_7_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_902719335.1_12083_7_35_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_902722965.1_12378_8_92_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_903800775.1_20621_1_50_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_903805115.1_21631_7_30_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_903808485.1_22114_8_87_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_903810715.1_22139_5_122_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_903810765.1_22139_5_127_genomic.fna,1_18,0.0050000000000000044,average,ANImf,1
GCA_000247395.2_ASM24739v2_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000248815.2_ASM24881v2_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000359925.1_Stap_aure_HIF003_B2N-C_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000528735.1_Stap_aure_M0709_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000532955.1_Stap_aure_M1294_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000536955.1_Stap_aure_UCIM6085_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000538295.1_Stap_aure_MISS6017_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000539935.1_Stap_aure_LPIH6001_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000540955.1_Stap_aure_SJUD6110_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000541875.1_Stap_aure_SCLE6029_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000547705.1_Stap_aure_M0758_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000558645.1_Stap_aure_FVRH6021_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000558745.1_Stap_aure_UCIM6075_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000570875.1_Stap_aure_T16664_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000597345.1_Stap_aure_T18851_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000601965.1_Stap_aure_F91072_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_000604885.1_Stap_aure_F48950_V1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001046015.1_ASM104601v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001046175.1_ASM104617v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001061375.1_ASM106137v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001113025.1_8489_7_41_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001199235.1_7748_4_73_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001202395.1_7738_3_21_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001203915.1_7907_4_50_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001204095.1_7748_4_51_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001209765.1_7738_3_48_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001210945.1_7748_4_75_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001262255.1_7738_3_6_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001288025.1_11641_1_81_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001288865.1_12673_1_52_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001289125.1_12625_5_30_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001289225.1_11641_1_85_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001289405.1_12625_5_64_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001290005.1_12673_5_30_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001290025.1_12673_4_90_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001290045.1_12971_2_67_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001290345.1_12625_2_25_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001290885.1_12971_3_83_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001291285.1_12673_2_16_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001295225.1_ASM129522v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001351515.1_8489_7_9_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001351995.1_7738_3_15_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001353435.1_7907_4_74_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_001353635.1_7907_4_17_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_003354665.1_ASM335466v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_003420565.1_ASM342056v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_003813615.1_ASM381361v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_004136235.1_ASM413623v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_005705635.2_ASM570563v2_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_005885975.1_ASM588597v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_008936415.1_ASM893641v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_008938075.1_ASM893807v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_009458865.1_ASM945886v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_012651195.1_ASM1265119v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_012652575.1_ASM1265257v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_014061925.1_ASM1406192v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_014693405.1_ASM1469340v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_014726475.1_ASM1472647v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_014732035.1_ASM1473203v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_014835365.1_ASM1483536v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015266105.1_ASM1526610v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015545895.1_PDT000822021.1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015577115.1_PDT000811644.1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015577175.1_PDT000811625.1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015581995.1_PDT000811371.1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015595905.1_PDT000619001.1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015717145.1_ASM1571714v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_015725915.1_ASM1572591v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_016012905.1_ASM1601290v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_017328965.1_ASM1732896v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_017581285.1_ASM1758128v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_017582145.1_ASM1758214v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_017697765.1_ASM1769776v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_018213685.1_ASM1821368v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_018306115.1_ASM1830611v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_018914485.1_ASM1891448v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_020664035.1_ASM2066403v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_020665435.1_ASM2066543v1_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_900097275.1_12291_8_5_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_900250425.1_H1445_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_900252215.1_RH238_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_900458325.1_41594_G01_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_903800745.1_20621_1_46_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_903803305.1_20621_1_124_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_903804405.1_21673_5_50_genomic.fna,1_19,0.0050000000000000044,average,ANImf,1
GCA_003038295.1_ASM303829v1_genomic.fna,1_20,0.0050000000000000044,average,ANImf,1
GCA_015219925.1_ASM1521992v1_genomic.fna,1_20,0.0050000000000000044,average,ANImf,1
GCA_017973525.1_ASM1797352v1_genomic.fna,1_20,0.0050000000000000044,average,ANImf,1
GCA_018810585.1_PDT001049315.1_genomic.fna,1_20,0.0050000000000000044,average,ANImf,1
GCA_019098045.1_ASM1909804v1_genomic.fna,1_20,0.0050000000000000044,average,ANImf,1
GCA_900097635.1_12291_8_43_genomic.fna,1_20,0.0050000000000000044,average,ANImf,1
GCA_900097705.1_12291_8_25_genomic.fna,1_20,0.0050000000000000044,average,ANImf,1
