,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
71,Alces~alces~faeces~associated~microvirus~MP3~6497,Unassigned,Microviridae,Unassigned,68_0,Clustered,2,VC_68_0,2,1.0,1.0,1.0,1,1,1,1.0
72,Aquamicrobium~phage~P14,Caudovirales,Podoviridae,Aqualcavirus,59_0,Clustered,15,VC_59_0,15,0.7425,1.0,0.7425,6,1,1,1.0
73,Archaeal~BJ1~virus,Caudovirales,Siphoviridae,Unassigned,74_0,Clustered,2,VC_74_0,2,0.8799,0.72985431,0.6422,1,2,2,1.0
74,Arthrobacter~phage~Abidatro,Caudovirales,Siphoviridae,Galaxyvirus,76_0,Clustered,2,VC_76_0,2,0.5135,0.94833447,0.487,1,1,1,1.0
75,Arthrobacter~phage~Adat,Caudovirales,Podoviridae,Jasminevirus,81_0,Clustered,2,VC_81_0,2,1.0,1.0,1.0,1,1,1,1.0
76,Arthrobacter~phage~Amigo,Caudovirales,Siphoviridae,Amigovirus,82_0,Clustered,2,VC_82_0,2,0.7728,0.89435023,0.6911,1,1,1,1.0
77,Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
78,Arthrobacter~phage~Beans,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
79,Arthrobacter~phage~Bennie,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
80,Arthrobacter~phage~Brent,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
81,Arthrobacter~phage~Colucci,Caudovirales,Myoviridae,Radnorvirus,85_0,Clustered,3,VC_85_0,3,0.4686,0.9969722,0.4672,2,1,1,1.0
82,Arthrobacter~phage~DrRobert,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
83,Arthrobacter~phage~Galaxy,Caudovirales,Siphoviridae,Galaxyvirus,76_0,Clustered,2,VC_76_0,2,0.5135,0.94833447,0.487,1,1,1,1.0
84,Arthrobacter~phage~Glenn,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
85,Arthrobacter~phage~HunterDalle,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
86,Arthrobacter~phage~Jasmine,Caudovirales,Podoviridae,Jasminevirus,81_0,Clustered,2,VC_81_0,2,1.0,1.0,1.0,1,1,1,1.0
87,Arthrobacter~phage~Jawnski,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
88,Arthrobacter~phage~Joann,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
89,Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,92_0,Clustered,2,VC_92_0,2,1.0,1.0,1.0,1,1,1,1.0
90,Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,92_0,Clustered,2,VC_92_0,2,1.0,1.0,1.0,1,1,1,1.0
91,Arthrobacter~phage~Korra,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
92,Arthrobacter~phage~Martha,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
93,Arthrobacter~phage~Molivia,Caudovirales,Siphoviridae,Amigovirus,82_0,Clustered,2,VC_82_0,2,0.7728,0.89435023,0.6911,1,1,1,1.0
94,Arthrobacter~phage~Piccoletto,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
95,Arthrobacter~phage~Preamble,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
96,Arthrobacter~phage~PrincessTrina,Caudovirales,Myoviridae,Arv1virus,85_0,Clustered,3,VC_85_0,3,0.4686,0.9969722,0.4672,2,1,1,1.0
97,Arthrobacter~phage~Pumancara,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
98,Arthrobacter~phage~Shade,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
99,Arthrobacter~phage~Sonny,Caudovirales,Myoviridae,Marthavirus,84_0,Clustered,8,VC_84_0,8,0.8682,1.0,0.8682,1,1,1,1.0
100,Arthrobacter~phage~Wayne,Caudovirales,Siphoviridae,Korravirus,75_0,Clustered,9,VC_75_0,9,0.9361,1.0,0.9361,1,1,1,1.0
101,Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arv1virus,85_0,Clustered,3,VC_85_0,3,0.4686,0.9969722,0.4672,2,1,1,1.0
102,Bacillus~phage~0305phi8-36,Caudovirales,Myoviridae,Unassigned,98_0,Clustered/Singleton,1,VC_98_0,1,0.0,1.0,0.0,1,1,1,1.0
103,Bacillus~phage~AR9,Caudovirales,Myoviridae,Unassigned,99_0,Clustered/Singleton,1,VC_99_0,1,0.0,1.0,0.0,1,1,1,1.0
104,Bacillus~phage~Aurora,Caudovirales,Podoviridae,Salasvirus,46_0,Clustered,4,VC_46_0,4,0.6691,0.99990862,0.6691,1,1,1,1.0
105,Bacillus~phage~BPS10C,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
106,Bacillus~phage~BPS13,Caudovirales,Myoviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
107,Bacillus~phage~Bam35c,Unassigned,Tectiviridae,Betatectivirus,114_0,Clustered,4,VC_114_0,4,1.0,1.0,1.0,1,1,1,1.0
108,Bacillus~phage~Belinda,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
109,Bacillus~phage~CP-51,Caudovirales,Myoviridae,Cp51virus,102_1,Clustered,3,VC_102_1,3,0.5703,0.99437727,0.5671,1,1,1,1.0
110,Bacillus~phage~CampHawk,Caudovirales,Myoviridae,Spo1virus,102_0,Clustered,2,VC_102_0,2,0.281,0.95113058,0.2673,1,1,1,1.0
111,Bacillus~phage~Claudi,Caudovirales,Podoviridae,Salasvirus,46_0,Clustered,4,VC_46_0,4,0.6691,0.99990862,0.6691,1,1,1,1.0
112,Bacillus~phage~DIGNKC,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
113,Bacillus~phage~DirtyBetty,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
114,Bacillus~phage~Eyuki,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
115,Bacillus~phage~GIL16c,Unassigned,Tectiviridae,Betatectivirus,114_0,Clustered,4,VC_114_0,4,1.0,1.0,1.0,1,1,1,1.0
116,Bacillus~phage~Hakuna,Caudovirales,Myoviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
117,Bacillus~phage~JL,Caudovirales,Myoviridae,Cp51virus,102_1,Clustered,3,VC_102_1,3,0.5703,0.99437727,0.5671,1,1,1,1.0
118,Bacillus~phage~Kida,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
119,Bacillus~phage~MG-B1,Caudovirales,Podoviridae,Salasvirus,46_0,Clustered,4,VC_46_0,4,0.6691,0.99990862,0.6691,1,1,1,1.0
120,Bacillus~phage~Megatron,Caudovirales,Myoviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
121,Bacillus~phage~Mgbh1,Caudovirales,Siphoviridae,Magadivirus,123_0,Clustered,2,VC_123_0,2,0.7964,0.72985431,0.5812,2,1,1,1.0
122,Bacillus~phage~Nemo,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
123,Bacillus~phage~Nigalana,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
124,Bacillus~phage~NotTheCreek,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
125,Bacillus~phage~PM1,Caudovirales,Siphoviridae,Unassigned,127_0,Clustered,2,VC_127_0,2,0.5069,0.72985431,0.37,2,1,1,1.0
126,Bacillus~phage~Page,Caudovirales,Podoviridae,Pagevirus,128_0,Clustered,6,VC_128_0,6,1.0,1.0,1.0,1,1,1,1.0
127,Bacillus~phage~Palmer,Caudovirales,Podoviridae,Pagevirus,128_0,Clustered,6,VC_128_0,6,1.0,1.0,1.0,1,1,1,1.0
128,Bacillus~phage~Pascal,Caudovirales,Podoviridae,Pagevirus,128_0,Clustered,6,VC_128_0,6,1.0,1.0,1.0,1,1,1,1.0
129,Bacillus~phage~Pavlov,Caudovirales,Podoviridae,Pagevirus,128_0,Clustered,6,VC_128_0,6,1.0,1.0,1.0,1,1,1,1.0
130,Bacillus~phage~Pony,Caudovirales,Podoviridae,Pagevirus,128_0,Clustered,6,VC_128_0,6,1.0,1.0,1.0,1,1,1,1.0
131,Bacillus~phage~Pookie,Caudovirales,Podoviridae,Pagevirus,128_0,Clustered,6,VC_128_0,6,1.0,1.0,1.0,1,1,1,1.0
132,Bacillus~phage~SP-15,Caudovirales,Myoviridae,Thornevirus,130_0,Clustered/Singleton,1,VC_130_0,1,0.0,1.0,0.0,1,1,1,1.0
133,Bacillus~phage~SPP1,Caudovirales,Siphoviridae,Unassigned,126_0,Clustered,2,VC_126_0,2,0.7148,0.81445332,0.5822,1,1,1,1.0
134,Bacillus~phage~SageFayge,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
135,Bacillus~phage~SalinJah,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
136,Bacillus~phage~Shanette,Caudovirales,Myoviridae,Cp51virus,102_1,Clustered,3,VC_102_1,3,0.5703,0.99437727,0.5671,1,1,1,1.0
137,Bacillus~phage~Slash,Caudovirales,Siphoviridae,Slashvirus,131_0,Clustered,4,VC_131_0,4,0.9989,0.89435023,0.8933,1,1,1,1.0
138,Bacillus~phage~Stahl,Caudovirales,Siphoviridae,Slashvirus,131_0,Clustered,4,VC_131_0,4,0.9989,0.89435023,0.8933,1,1,1,1.0
139,Bacillus~phage~Staley,Caudovirales,Siphoviridae,Slashvirus,131_0,Clustered,4,VC_131_0,4,0.9989,0.89435023,0.8933,1,1,1,1.0
140,Bacillus~phage~Stills,Caudovirales,Siphoviridae,Slashvirus,131_0,Clustered,4,VC_131_0,4,0.9989,0.89435023,0.8933,1,1,1,1.0
141,Bacillus~phage~Stitch,Caudovirales,Podoviridae,Salasvirus,46_0,Clustered,4,VC_46_0,4,0.6691,0.99990862,0.6691,1,1,1,1.0
142,Bacillus~phage~TP21-L,Caudovirales,Siphoviridae,Tp21virus,119_0,Clustered,2,VC_119_0,2,0.7829,0.72985431,0.5714,1,1,1,1.0
143,Bacillus~phage~VMY22,Caudovirales,Podoviridae,Salasvirus,47_0,Clustered,4,VC_47_0,4,0.3922,0.99975314,0.3921,2,1,1,1.0
144,Bacillus~phage~W.Ph.,Caudovirales,Myoviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
145,Bacillus~phage~Wip1,Unassigned,Tectiviridae,Betatectivirus,114_0,Clustered,4,VC_114_0,4,1.0,1.0,1.0,1,1,1,1.0
146,Bacillus~phage~Zuko,Caudovirales,Herelleviridae,Wphvirus,101_0,Clustered,16,VC_101_0,16,0.4731,1.0,0.4731,1,2,1,0.8583
147,Bacillus~phage~vB_BanS-Tsamsa,Caudovirales,Siphoviridae,Unassigned,103_3,Clustered/Singleton,1,VC_103_3,1,0.0,1.0,0.0,1,1,1,1.0
148,Bacillus~virus~1,Caudovirales,Myoviridae,Svunavirus,133_0,Clustered,2,VC_133_0,2,0.5542,0.92404647,0.5121,1,1,1,1.0
149,Bacillus~virus~250,Caudovirales,Siphoviridae,Cecivirus,117_0,Clustered,2,VC_117_0,2,0.4822,0.93865445,0.4526,1,1,1,1.0
150,Bacillus~virus~AP50,Unassigned,Tectiviridae,Betatectivirus,114_0,Clustered,4,VC_114_0,4,1.0,1.0,1.0,1,1,1,1.0
151,Bacillus~virus~Andromeda,Caudovirales,Siphoviridae,Andromedavirus,138_0,Clustered,8,VC_138_0,8,1.0,1.0,1.0,1,1,1,1.0
152,Bacillus~virus~B103,Caudovirales,Podoviridae,Phi29virus,47_0,Clustered,4,VC_47_0,4,0.3922,0.99975314,0.3921,2,1,1,1.0
153,Bacillus~virus~BMBtp2,Caudovirales,Siphoviridae,Tp21virus,119_0,Clustered,2,VC_119_0,2,0.7829,0.72985431,0.5714,1,1,1,1.0
154,Bacillus~virus~Blastoid,Caudovirales,Siphoviridae,Andromedavirus,138_0,Clustered,8,VC_138_0,8,1.0,1.0,1.0,1,1,1,1.0
155,Bacillus~virus~Curly,Caudovirales,Siphoviridae,Andromedavirus,138_0,Clustered,8,VC_138_0,8,1.0,1.0,1.0,1,1,1,1.0
156,Bacillus~virus~Eoghan,Caudovirales,Siphoviridae,Andromedavirus,138_0,Clustered,8,VC_138_0,8,1.0,1.0,1.0,1,1,1,1.0
157,Bacillus~virus~Finn,Caudovirales,Siphoviridae,Andromedavirus,138_0,Clustered,8,VC_138_0,8,1.0,1.0,1.0,1,1,1,1.0
158,Bacillus~virus~G,Caudovirales,Myoviridae,Unassigned,130_1,Clustered/Singleton,1,VC_130_1,1,0.0,1.0,0.0,1,1,1,1.0
159,Bacillus~virus~GA1,Caudovirales,Podoviridae,Phi29virus,47_0,Clustered,4,VC_47_0,4,0.3922,0.99975314,0.3921,2,1,1,1.0
160,Bacillus~virus~Glittering,Caudovirales,Siphoviridae,Andromedavirus,138_0,Clustered,8,VC_138_0,8,1.0,1.0,1.0,1,1,1,1.0
161,Bacillus~virus~IEBH,Caudovirales,Siphoviridae,Cecivirus,117_0,Clustered,2,VC_117_0,2,0.4822,0.93865445,0.4526,1,1,1,1.0
